Unnamed: 0,Name,Profile,Followers,Country,Topic of Influence,JSON Downloaded,All posts downloaded,TotalPosts,Completed,Unnamed: 10,Unnamed: 11,Unnamed: 12,JSON STATUS OLD
54,ROSÉ,@roses_are_rosie,72.5M,,"Entertainment and Music, Singer, Artist",1,,,,,,,0.0
55,Justin Timberlake,@justintimberlake,72.1M,United States,"Art, Actors, Entertainment, Songwriting",1,,,,,,,0.0
56,Urvashi Rautela,@urvashirautela,69.6M,France,"Art, Beauty, Acting and Drama, Beauty and Self Care",1,,,,,,,0.0
57,Abel Tesfaye,@theweeknd,68.1M,United States,"Art, Singer, Artist",1,,,,,,,0.0
58,KAROL G,@karolg,67.1M,Colombia,"Entertainment and Music, Humor, Film, Music & Books, Celebrities",1,,,,,,,0.0
59,camila,@camila_cabello,67M,United States,"Entertainment and Music, Celebrity, Singer, Music",1,,,,,,,0.0
60,Akshay Kumar,@akshaykumar,66.9M,India,"Entertainment and Music, Celebrity, Actors, Actor",1,,,,,,,0.0
61,Tom Holland,@tomholland2013,66.5M,United Kingdom,"Entertainment and Music, Acting and Drama, Actors",1,,,,,,,0.0
62,Marcelo Vieira,@marcelotwelve,66.1M,Brazil,"Sports, Soccer",1,,,,,,,0.0
63,AnushkaSharma1588,@anushkasharma,65.2M,,"Entertainment and Music, Actors, Artist",1,,,,,,,0.0
64,Anitta 🎤,@anitta,64.8M,Brazil,"Art, Entertainment and Music, Music, Singer",1,,,,,,,0.0
65,Will Smith,@willsmith,64.6M,United States,"Entertainment and Music, Producers, Hip hop music, Artist",1,,,,,,,0.0
66,Zlatan Ibrahimović,@iamzlatanibrahimovic,63.9M,Sweden,"Fashion and Accessories, Auto and Vehicles, Soccer",1,,,,,,,0.0
67,MALUMA,@maluma,63.6M,Colombia,"Entertainment and Music, Music, Singer",1,,,,,,,0.0
68,Millie Bobby Brown,@milliebobbybrown,63.5M,United Kingdom,"Celebrity, Actors",1,,,,,,,0.0
69,V,@thv,63.2M,,"Art, Artist",1,,,,,,,0.0
70,Salman Khan,@beingsalmankhan,63.1M,India,"Entertainment and Music, Celebrity, Actor",1,,,,,,,0.0
71,Manchester United,@manchesterunited,63M,,"Sports, Fashion and Accessories, Soccer",1,,,,,,,0.0
72,Mohamed Salah,@mosalah,63M,Egypt,Sports,1,,,,,,,0.0
73,Zac Efron,@zacefron,61.9M,United States,Actors,1,,,,,,,0.0
74,Leonardo DiCaprio,@leonardodicaprio,61.9M,United States,"Entertainment and Music, Celebrity, Actors, Producers",1,,,,,,,0.0
75,Sergio Ramos,@sergioramos,61.6M,Spain,"Sports, Soccer",1,,,,,,,0.0
76,Paul Labile Pogba,@paulpogba,61.1M,France,Sports,1,,,,,,,0.0
77,disha patani (paatni) 🦋,@dishapatani,60M,India,"Celebrity, Actors",1,,,,,,,0.0
78,Bella 🦋,@bellahadid,59.8M,United States,"Technology, Modeling, Scientist",1,,,,,,,0.0
79,Whindersson Nunes,@whinderssonnunes,59.5M,Brazil,"Entertainment and Music, Funny, Celebrity, Comedy",1,,,,,,,0.0
80,Juventus,@juventus,58.9M,Italy,"Sports, Soccer, Sports Team, Creators & Celebrities",1,,,,,,,0.0
81,BLΛƆKPIИK,@blackpinkofficial,57.8M,,"Entertainment and Music, Music, Band, Musician Band",1,,,,,,,0.0
82,Paulo Dybala,@paulodybala,57.6M,Argentina,"Sports, Soccer",1,,,,,,,0.0
83,Chris Hemsworth,@chrishemsworth,57.6M,Australia,Actors,1,,,,,,,0.0
84,Robert Downey Jr.,@robertdowneyjr,57.2M,United States,Actors,1,,,,,,,0.0
85,Michelle Obama,@michelleobama,57.1M,,"Books, Pets, Author, Creators & Celebrities",1,,,,,,,0.0
86,Tata Werneck,@tatawerneck,57M,Brazil,"Entertainment and Music, Actors, Artist",1,,,,,,,0.0
87,Lady Gaga,@ladygaga,56.5M,United States,"Shopping, Music, Singer, Songwriting",1,,,,,,,0.0
88,Ayu Tingting,@ayutingting92,56.2M,Indonesia,"Beauty and Self Care, Celebrity, Music, Lifestyle",1,,,,,,,0.0
89,Wardell Curry,@stephencurry30,55.6M,United States,"Sports, Basketball, Athlete, Creators & Celebrities",1,,,,,,,0.0
90,Kriti,@kritisanon,55.5M,,"Art, Modeling, Artist",1,,,,,,,0.0
91,Prilly Latuconsina,@prillylatuconsina96,55M,Indonesia,"Entertainment and Music, Fashion and Accessories, Celebrity, Actors",1,,,,,,,0.0
92,Sunny Leone,@sunnyleone,54.6M,India,"Beauty and Self Care, Modeling, Actors, Actor",1,,,,,,,0.0
93,Adele,@adele,54.5M,United Kingdom,"Singer, Music",1,,,,,,,0.0
94,Burak Özdemir,@cznburak,54.4M,Turkey,"Food, Music, Chef",1,,,,,,,0.0
95,HUDA BEAUTY,@hudabeauty,54M,United Arab Emirates,"Beauty and Self Care, Blogger, Creators & Celebrities",1,,,,,,,0.0
96,Lele Pons,@lelepons,53.9M,United States,"Art, Entertainment and Music, Video Blogger, Artist",1,,,,,,,0.0
97,Nusr_et#Saltbae,@nusr_et,53.7M,United States,"Food, Business and Finance, Chef",1,,,,,,,0.0
98,Georgina Rodríguez,@georginagio,53.6M,Spain,"Books, Lifestyle, Modeling",1,,,,,,,0.0
99,flame,@travisscott,53.5M,United States,"Music, Art, DJ",1,,,,,,,0.0
100,flame,@travisscott,53M,United States,"Music, Art, DJ",1,,,,,,,0.0
101,Kris Jenner,@krisjenner,52.8M,United States,"TV Shows, Celebrities, Producers, Public Figure",1,,,,,,,0.0
102,Gareth Bale,@garethbale11,52.6M,Spain,Soccer,1,,,,,,,0.0
103,James Rodríguez,@jamesrodriguez10,52M,Colombia,"Sports, Soccer",1,,,,,,,0.0
104,Zayn Malik,@zayn,51.7M,United Kingdom,"Entertainment and Music, Music, Singer, Musician",1,,,,,,,0.0
105,J Balvin,@jbalvin,51.5M,Colombia,"Art, Singer, Entertainment, Music",1,,,,,,,0.0
106,JIMIN,@j.m,51.4M,,Art,1,,,,,,,0.0
107,🔮Vanessa Hudgens🔮,@vanessahudgens,51.2M,United States,"Entertainment and Music, Fashion and Accessories, Actors, Personal Blog",1,,,,,,,0.0
108,Hailey Rhode Baldwin Bieber,@haileybieber,50.7M,United States,"Fashion and Accessories, Celebrity, Modeling",1,,,,,,,0.0
109,House of Highlights,@houseofhighlights,50.5M,United States,"Sports, Entertainment and Music, News, Video Gaming",1,,,,,,,0.0
110,Ryan Reynolds,@vancityreynolds,50.3M,Canada,"Actors, Public Figure",1,,,,,,,0.0
111,Manchester City,@mancity,49.4M,,"Sports, Soccer",1,,,,,,,0.0
112,,@harrystyles,48.8M,,Singer,1,,,,,,,0.0
113,Daddy Yankee,@daddyyankee,48.6M,Puerto Rico,"Music, Modeling, Singer",1,,,,,,,0.0
114,#NAME?,@maisa,48.5M,Brazil,"Acting and Drama, Music, Singer",1,,,,,,,0.0
115,SUGA of BTS 민윤기,@agustd,48.2M,South Korea,"Entertainment and Music, Music, Musician Band",1,,,,,,,0.0
116,jhope,@uarmyhope,48.1M,,"Entertainment and Music, Artist",1,,,,,,,0.0
117,Luis Suárez,@luissuarez9,47.7M,Uruguay,Sports,1,,,,,,,0.0
118,Jannat Zubair Rahmani,@jannatzubair29,47.4M,India,"Entertainment and Music, Acting and Drama, Celebrity, Actors",1,,,,,,,0.0
119,Conor McGregor Official,@thenotoriousmma,47.1M,Ireland,"Sports, Video Gaming, Mixed martial arts, Athlete",1,,,,,,,0.0
120,charli,@charlidamelio,47M,,Entertainment and Music,1,,,,,,,0.0
121,Jin of BTS,@jin,46.9M,South Korea,"Art, Music, Artist",1,,,,,,,0.0
122,M S Dhoni,@mahi7781,46.6M,India,"Sports, Cricket",1,,,,,,,0.0
123,MrBeast,@mrbeast,46.4M,United States,"Food, Entertainment and Music, Finance",1,,,,,,,0.0
124,Hrithik Roshan,@hrithikroshan,46.1M,India,"Entertainment and Music, Actors, Actor",1,,,,,,,0.0
125,Ed Sheeran,@teddysphotos,45.9M,United Kingdom,"Entertainment and Music, Music, Songwriting, Singer",1,,,,,,,0.0
126,,@badbunnypr,45.7M,,"Marketing and Advertising, Actors, Modeling, Lifestyle",1,,,,,,,0.0
127,Chris Pratt,@prattprattpratt,45.6M,United States,"Acting and Drama, Sports, Celebrity, Actors",1,,,,,,,0.0
128,Nora Fatehi,@norafatehi,45.5M,Canada,"Acting and Drama, Entertainment and Music, Celebrity, Music",1,,,,,,,0.0
129,Kapil Sharma,@kapilsharma,45.4M,India,"Art, Singer, Music",1,,,,,,,0.0
130,Ruben Onsu,@ruben_onsu,45.3M,Indonesia,"Beauty and Self Care, Actors, Music",1,,,,,,,0.0
131,Bruna Marquezine,@brunamarquezine,45.2M,Brazil,"Art, Beauty and Self Care, Fashion and Accessories, Arts and Crafts",1,,,,,,,0.0
132,Jennifer Aniston,@jenniferaniston,45.1M,United States,"Entertainment and Music, Celebrity",1,,,,,,,0.0
133,RM,@rkive,44.9M,,,1,,,,,,,0.0
134,Virginia Fonseca Costa,@virginia,44.7M,,"Beauty and Self Care, Romance and Wedding, Modeling, Humor",1,,,,,,,0.0
135,Ranveer Singh,@ranveersingh,44.5M,India,"Entertainment and Music, Actors, Modeling, Film",1,,,,,,,0.0
136,🏛 Gusttavo Lima 🏛,@gusttavolima,44.3M,Brazil,"Entertainment and Music, Romance and Wedding, Singer",1,,,,,,,0.0
137,NICKY JAM,@nickyjam,44.2M,Puerto Rico,"Entertainment and Music, Music, Management, Singer",1,,,,,,,0.0
138,Toni Kroos,@toni.kr8s,43.7M,Germany,"Sports, Soccer",1,,,,,,,0.0
139,SYAHRINI,@princessyahrini,43.6M,Indonesia,"Celebrity, Parenting, Singer",1,,,,,,,0.0
140,Sachin Tendulkar,@sachintendulkar,43.5M,India,"Sports, Education, Cricket",1,,,,,,,0.0
141,Liverpool Football Club,@liverpoolfc,43.5M,United Kingdom,"Sports, Soccer",1,,,,,,,0.0
142,Shah Rukh Khan,@iamsrk,43.5M,India,Actors,1,,,,,,,0.0
143,,@parineetichopra,43.5M,India,"Beauty and Self Care, Actors, Computer Company",1,,,,,,,0.0
144,Sara Ali Khan,@saraalikhan95,43.5M,India,"Entertainment and Music, Fashion and Accessories, Actors, Actor",1,,,,,,,0.0
145,Andres Iniesta,@andresiniesta8,43.4M,Spain,"Sports, Soccer",1,,,,,,,0.0
146,Vinicius Jr. ⚡️🇧🇷,@vinijr,43.3M,Brazil,"Sports, Soccer",1,,,,,,,0.0
147,Blake Lively,@blakelively,43.3M,United States,"Entertainment and Music, Business and Finance, Actors, Entrepreneur",1,,,,,,,0.0
148,Natasha Wilona,@natashawilona12,43.3M,Indonesia,"Fashion and Accessories, Celebrity, Modeling, Cars & Motorcycles",1,,,,,,,0.0
149,chrissy teigen,@chrissyteigen,42.8M,United States,"Food, Modeling, TV Host, Personal Blog",1,,,,,,,0.0
150,Maria River Red,@britneyspears,42.7M,,"Arts and Crafts, Food, Singer, Music",1,,,,,,,0.0
151,Cara Delevingne,@caradelevingne,42.5M,United Kingdom,"Fashion and Accessories, Modeling, Actor",1,,,,,,,0.0
152,Marina Ruy Barbosa,@marinaruybarbosa,42.3M,Brazil,"Acting and Drama, Fashion and Accessories, Celebrity, Actors",1,,,,,,,0.0
153,T-Raww,@tyga,42M,United States,"Art, Singer, Music, Rap",1,,,,,,,0.0
154,Marilia Mendonça,@mariliamendoncacantora,41.9M,Brazil,"Entertainment and Music, Singer, Music",1,,,,,,,0.0
155,Antoine Griezmann,@antogriezmann,41.4M,France,"Sports, Soccer",1,,,,,,,0.0
156,Chelsea FC,@chelseafc,41.2M,,"Soccer, Sports, Journalists",1,,,,,,,0.0
157,Wiz Khalifa,@wizkhalifa,40.6M,United States,"Entertainment and Music, Music, DJ, Singer",1,,,,,,,0.0
158,Jason Statham,@jasonstatham,40.5M,United Kingdom,"Luxury, Photography, Art",1,,,,,,,0.0
159,FC Bayern,@fcbayern,40.5M,,"Sports, News, Soccer",1,,,,,,,0.0
160,VarunDhawan,@varundvn,40.3M,,"Entertainment and Music, Actors, Actor",1,,,,,,,0.0
161,Marshall Mathers,@eminem,40M,United States,"Music, Singer, Rap",1,,,,,,,0.0
162,Jenna Ortega,@jennaortega,39.8M,United States,"Lifestyle, Actors",1,,,,,,,0.0
163,Laudya Cynthia Bella,@laudyacynthiabella,39.8M,Indonesia,"Acting and Drama, Health and Medical Services, Music of Asia, Singer",1,,,,,,,0.0
164,Anushka Sen,@anushkasen0408,39.6M,India,"Celebrity, Actors",1,,,,,,,0.0
165,Nancy Ajram,@nancyajram,39.5M,Lebanon,Entertainment and Music,1,,,,,,,0.0
166,Wesley Safadão,@wesleysafadao,39.3M,,"Entertainment and Music, Music, Singer",1,,,,,,,0.0
167,Gisella Anastasia,@gisel_la,39.1M,Indonesia,"family, Music of Asia, Singer",1,,,,,,,0.0
168,KIM LOAIZA 🖤,@kimberly.loaiza,39M,,"Entertainment and Music, Actors, Modeling, Film, Music & Books",1,,,,,,,0.0
169,zidane,@zidane,38.4M,,"Sports, Soccer",1,,,,,,,0.0
170,French Montana,@frenchmontana,38.3M,United States,"Entertainment and Music, Music, Singer, Rap",1,,,,,,,0.0
171,Antonela Roccuzzo,@antonelaroccuzzo,38.2M,Argentina,"family, Modeling",1,,,,,,,0.0
172,Shahid Kapoor,@shahidkapoor,38.1M,India,Actors,1,,,,,,,0.0
173,Luna Maya,@lunamaya,38M,Indonesia,"Beauty and Self Care, Entertainment and Music, Celebrity, Marketing and Advertising",1,,,,,,,0.0
174,차은우,@eunwo.o_c,37.9M,,,1,,,,,,,0.0
175,Becky G,@iambeckyg,37.8M,United States,"Beauty and Self Care, Music, Musician",1,,,,,,,0.0
176,DJ KHALED,@djkhaled,37.8M,United States,"Entertainment and Music, Parenting, DJ, Celebrities",1,,,,,,,0.0
177,Madison Beer,@madisonbeer,37.7M,United States,"Entertainment and Music, Music, Singer, Actors",1,,,,,,,0.0
178,,@raisa6690,37.5M,Indonesia,Musician,1,,,,,,,0.0
179,“REAL HASTA LA MUERTE”,@anuel,37.2M,,"Entertainment and Music, Music, Rap",1,,,,,,,0.0
180,Daniel Alves,@danialves,37.1M,Brazil,"Sports, Soccer",1,,,,,,,0.0
181,Tiger Shroff,@tigerjackieshroff,36.8M,India,"Entertainment and Music, Actors, Actor",1,,,,,,,0.0
182,Addison Rae,@addisonraee,36.7M,United States,"Beauty and Self Care, Public Figure, Creators & Celebrities",1,,,,,,,0.0
183,Shay Mitchell,@shaymitchell,36.7M,United States,"Celebrity, Modeling, Actor, Creators & Celebrities",1,,,,,,,0.0
184,NATTI NATASHA,@nattinatasha,36.5M,Dominican Republic,"Entertainment and Music, Actors, Music, Singer",1,,,,,,,0.0
185,Barack Obama,@barackobama,36.5M,United States,"Politics, Public Figure",1,,,,,,,0.0
186,Veveta,@ivetesangalo,36M,Brazil,"Entertainment and Music, TV Host, Actors, Music",1,,,,,,,0.0
187,Amitabh Bachchan,@amitabhbachchan,35.9M,India,"Entertainment and Music, Actors, Film, TV Host",1,,,,,,,0.0
188,Paolla Oliveira,@paollaoliveirareal,35.8M,Brazil,"Acting and Drama, Lifestyle, Actors",1,,,,,,,0.0
189,Sarwendah29,@sarwendah29,35.7M,,"Music, Actors",1,,,,,,,0.0
190,Robert Lewandowski,@_rl9,35.6M,Brazil,"Sports, Soccer",1,,,,,,,0.0
191,Nick Jonas,@nickjonas,35.5M,United States,"Entertainment and Music, Food, Product Showcase, Artist",1,,,,,,,0.0
192,Olivia Rodrigo,@oliviarodrigo,35.4M,United States,"Entertainment and Music, Modeling, Music, Musician",1,,,,,,,0.0
193,Хабиб Нурмагомедов,@khabib_nurmagomedov,35.4M,Russia,"Mixed martial arts, Sports",1,,,,,,,0.0
194,KATHERINE LANGFORD,@katherinelangford,35.3M,,"Art, Actors",1,,,,,,,0.0
195,Lewis Hamilton,@lewishamilton,35.3M,United Kingdom,"Sports, Racing, Formula1, Riders",1,,,,,,,0.0
196,Sonam Kapoor Ahuja,@sonamkapoor,35.3M,India,"Fashion and Accessories, Modeling, Lifestyle",1,,,,,,,0.0
197,Ciara,@ciara,35.1M,United States,"Beauty and Self Care, Entertainment and Music, Business and Finance, Celebrity",1,,,,,,,0.0
198,Luan Santana,@luansantana,35.1M,Brazil,"Entertainment and Music, Singer, Music",1,,,,,,,0.0
199,RICIS🧜‍♀️,@riaricis1795,34.6M,,"Fashion and Accessories, Lifestyle",1,,,,,,,0.0
200,이민호 leeminho,@actorleeminho,34.5M,South Korea,Actors,1,,,,,,,0.0
201,Atta Halilintar (PAPATA),@attahalilintar,34.5M,Indonesia,"Entertainment and Music, Music, Auto and Vehicles, Business and Finance",1,,,,,,,0.0
202,Danna Paola,@dannapaola,34.5M,Mexico,Public Figure,1,,,,,,,0.0
203,Guru Randhawa,@gururandhawa,34.3M,India,"Entertainment and Music, Music, Singer",1,,,,,,,0.0
204,Juanpa Zurita,@juanpazurita,34.2M,,Marketing and Advertising,1,,,,,,,0.0
205,Aurelie Hermansyah Atta,@aurelie.hermansyah,33.8M,Indonesia,"Beauty and Self Care, Product, Modeling",1,,,,,,,0.0
206,Luisillo El Pillo,@luisitocomunica,33.6M,Mexico,"Entertainment and Music, Funny, Actors, Music",1,,,,,,,0.0
207,DR. SHAQUILLE O'NEAL Ed.D.,@shaq,33.5M,United States,"Sports, Celebrity, Music, Film Director",1,,,,,,,0.0
208,Jessica Iskandar,@inijedar,33.3M,Indonesia,"family, Food, Celebrity, Actors",1,,,,,,,0.0
209,Madhuri Dixit,@madhuridixitnene,33.1M,India,"Entertainment and Music, Celebrity",1,,,,,,,0.0
210,Ashanty Ash,@ashanty_ash,33.1M,Indonesia,"Entertainment and Music, Celebrity, Singer",1,,,,,,,0.0
211,Jackson Wang,@jacksonwang852g7,33.1M,China,"Entertainment and Music, Singer, Artist, Creators & Celebrities",1,,,,,,,0.0
212,Luka Modric,@lukamodric10,32.9M,Croatia,"Sports, Soccer",1,,,,,,,0.0
213,Avneet Kaur,@avneetkaur_13,32.9M,,"Acting and Drama, Fashion and Accessories, Celebrity, Actors",1,,,,,,,0.0
214,Cole Sprouse,@colesprouse,32.9M,United States,"Entertainment and Music, Actors, Day Care",1,,,,,,,0.0
215,Dan Bilzerian,@danbilzerian,32.8M,United States,"Entertainment and Music, Actors",1,,,,,,,0.0
216,Myriam Fares,@myriamfares,32.8M,Iraq,"Art, Singer, Music, Music of Asia",1,,,,,,,0.0
217,Niall Horan,@niallhoran,32.7M,United States,"Band, Photography, Music",1,,,,,,,0.0
218,FROM INDONESIA TO WORLD,@ivan_gunawan,32.7M,Indonesia,"Beauty and Self Care, Fashion and Accessories, Celebrity",1,,,,,,,0.0
219,AGNEZ MO,@agnezmo,32.1M,United States,"Entertainment and Music, Music, Modeling, Singer",1,,,,,,,0.0
220,Victoria Beckham,@victoriabeckham,32.1M,United Kingdom,"Fashion and Accessories, Beauty and Self Care, Product Showcase, Modeling",1,,,,,,,0.0
221,Sabrina Carpenter,@sabrinacarpenter,31.8M,,"Entertainment and Music, Music, Modeling, Artist",1,,,,,,,0.0
222,halsey,@iamhalsey,31.7M,,"Entertainment and Music, Beauty and Self Care, Music, Singer",1,,,,,,,0.0
223,Eliana Michaelichen,@eliana,31.6M,Brazil,"Art, TV Shows, Music, Actors",1,,,,,,,0.0
224,LUÍSA SONZA,@luisasonza,31.6M,Brazil,"Entertainment and Music, Music, Lifestyle, Singer",1,,,,,,,0.0
225,marshmello,@marshmello,31.6M,,"Entertainment and Music, Music, Band, Rock",1,,,,,,,0.0
226,Hugh Jackman,@thehughjackman,31.5M,Australia,"Entertainment and Music, Actors, TV Host, Modeling",1,,,,,,,0.0
227,Megan Thee Stallion,@theestallion,31.4M,United States,"Entertainment and Music, Music, Entertainment, Singer",1,,,,,,,0.0
228,Sabrina Sato,@sabrinasato,31.4M,Brazil,"Entertainment and Music, Acting and Drama, Automotive, TV Host",1,,,,,,,0.0
229,Anne Hathaway,@annehathaway,31.4M,United States,"Entertainment and Music, Celebrity, Actors, Music",1,,,,,,,0.0
230,Viih Tube,@viihtube,31.4M,Brazil,"family, Beauty and Self Care, Entertainment and Music, Modeling",1,,,,,,,0.0
231,이지금 IU,@dlwlrma,31.4M,South Korea,"Entertainment and Music, Celebrity, Modeling",1,,,,,,,0.0
232,Golden State Warriors,@warriors,31.2M,,"Sports, Sports Team, Creators & Celebrities",1,,,,,,,0.0
233,Hande Erçel,@handemiyy,31.2M,Turkey,"Fashion and Accessories, Animation and Cosplay, Celebrity, Actors",1,,,,,,,0.0
234,Zaskia Sungkar,@zaskiasungkar15,31.2M,Indonesia,Fashion and Accessories,1,,,,,,,0.0
235,Juliette,@juliette,31.1M,Brazil,"Entertainment and Music, Artist",1,,,,,,,0.0
236,Sergio Leonel Agüero,@kunaguero,31M,Argentina,,1,,,,,,,0.0
237,KIARA,@kiaraaliaadvani,31M,,"Parenting, Beauty, Actors",1,,,,,,,0.0
238,Sofia Vergara,@sofiavergara,30.9M,Colombia,"Entertainment and Music, Actors, Modeling, Celebrities",1,,,,,,,0.0
239,Zaskia Shinta,@zaskia_gotix,30.9M,Indonesia,"family, Music, Singer",1,,,,,,,0.0
240,Juliana Paes,@julianapaes,30.8M,Brazil,"Acting and Drama, Celebrity, Visualizations",1,,,,,,,0.0
241,Ice Cube,@icecube,30.8M,United States,"Entertainment and Music, Singer, Rap",1,,,,,,,0.0
